id,country,league,season,round,date,time,count,home,away,homeScore,awayScore,homeGoals,homeScorers,homeAsists,awayGoals,awayScorers,awayAsists,1HalfStats home Ball Possession,1HalfStats away Ball Possession,1HalfStats home Goal Attempts,1HalfStats away Goal Attempts,1HalfStats home Shots on Goal,1HalfStats away Shots on Goal,1HalfStats home Shots off Goal,1HalfStats away Shots off Goal,1HalfStats home Blocked Shots,1HalfStats away Blocked Shots,1HalfStats home Free Kicks,1HalfStats away Free Kicks,1HalfStats home Corner Kicks,1HalfStats away Corner Kicks,1HalfStats home Offsides,1HalfStats away Offsides,1HalfStats home Throw-in,1HalfStats away Throw-in,1HalfStats home Goalkeeper Saves,1HalfStats away Goalkeeper Saves,1HalfStats home Fouls,1HalfStats away Fouls,1HalfStats home Yellow Cards,1HalfStats away Yellow Cards,1HalfStats home Red Cards,1HalfStats away Red Cards,1HalfStats home Total Passes,1HalfStats away Total Passes,1HalfStats home Completed Passes,1HalfStats away Completed Passes,1HalfStats home Tackles,1HalfStats away Tackles,1HalfStats home Attacks,1HalfStats away Attacks,1HalfStats home Dangerous Attacks,1HalfStats away Dangerous Attacks,2HalfStats home Ball Possession,2HalfStats away Ball Possession,2HalfStats home Goal Attempts,2HalfStats away Goal Attempts,2HalfStats home Shots on Goal,2HalfStats away Shots on Goal,2HalfStats home Shots off Goal,2HalfStats away Shots off Goal,2HalfStats home Blocked Shots,2HalfStats away Blocked Shots,2HalfStats home Free Kicks,2HalfStats away Free Kicks,2HalfStats home Corner Kicks,2HalfStats away Corner Kicks,2HalfStats home Offsides,2HalfStats away Offsides,2HalfStats home Throw-in,2HalfStats away Throw-in,2HalfStats home Goalkeeper Saves,2HalfStats away Goalkeeper Saves,2HalfStats home Fouls,2HalfStats away Fouls,2HalfStats home Yellow Cards,2HalfStats away Yellow Cards,2HalfStats home Red Cards,2HalfStats away Red Cards,2HalfStats home Total Passes,2HalfStats away Total Passes,2HalfStats home Completed Passes,2HalfStats away Completed Passes,2HalfStats home Tackles,2HalfStats away Tackles,2HalfStats home Attacks,2HalfStats away Attacks,2HalfStats home Dangerous Attacks,2HalfStats away Dangerous Attacks,moneyLineOdds home,moneyLineOdds draw,moneyLineOdds away,overUnderOdds over0.5,overUnderOdds under0.5,overUnderOdds over1.5,overUnderOdds under1.5,overUnderOdds over2.5,overUnderOdds under2.5,overUnderOdds over3.5,overUnderOdds under3.5
374,france,ligue-1,2021-2022,38,21.05.2022,14:00,374 out of 384,Paris SG,Metz,5,0,"['25', '28', '31', '50', '67']","['Mbappe K.', 'Mbappe K.', 'Neymar', 'Mbappe K.', 'Di Maria A.']","['Di Maria A.', 'Messi L.', 'noName', 'noName', 'noName']",[],[],[],70%,30%,13,4,6,1,4,2,3,1,8,3,2,1,0,1,5,11,1,3,3,7,0,1,0,0,401,161,363,132,9,14,60,39,24,22,81%,19%,14,0,6,0,6,0,2,0,6,6,2,1,2,1,10,1,0,4,4,5,1,1,0,1,360,79,336,50,6,11,78,22,40,4,1.13,11.00,19.00,0,0,1.03,10.75,1.19,4.60,1.50,2.51
373,france,ligue-1,2021-2022,38,21.05.2022,14:00,373 out of 384,Reims,Nice,2,3,"['9', '17']","['Ekitike H.', 'Doumbia K.']","['noName', 'Toure E. B.']","['75', '77', '82']","['Delort A.', 'Delort A.', 'Delort A.']","['noName', 'Gouiri A.', 'noName']",47%,53%,4,7,4,2,0,1,0,4,5,4,2,4,0,0,10,10,2,2,3,5,0,1,0,0,253,267,0,234,12,8,46,57,25,31,43%,57%,1,10,0,4,1,3,0,3,9,4,0,3,0,0,8,11,1,0,5,9,0,1,0,0,173,232,0,199,5,9,31,59,10,33,3.85,3.80,1.95,1.03,11.75,1.22,4.10,1.70,2.13,2.66,1.45
372,france,ligue-1,2021-2022,FINALS,20.05.2022,13:30,372 out of 384,"Advancing to next round
Auxerre",Sochaux,1,0,"['1', '2', '3', '4', '5']","['Dugimont R.', 'Jubal', 'Perrin G.', 'Charbonier G.', 'Toure B.']","['noName', 'noName', 'noName', 'noName', 'noName']","['1', '2', '4', '5']","['Pogba F.', 'Henry V.', 'Virginius A.', 'Ambri S.']","['noName', 'noName', 'noName', 'noName']",62%,38%,8,1,3,0,4,1,1,0,9,2,2,1,1,2,14,9,0,3,2,7,0,0,0,0,327,198,286,158,3,12,76,31,30,8,54%,46%,10,3,2,0,6,2,2,1,9,8,0,1,0,6,3,7,0,2,8,3,1,1,0,0,299,241,257,200,11,7,58,36,27,13,2.10,3.30,3.90,1.08,7.70,1.39,2.89,2.30,1.62,4.10,1.22
371,france,ligue-1,2021-2022,FINALS,17.05.2022,13:30,371 out of 384,Paris FC,"Sochaux
Advancing to next round",1,2,['8'],['Siby M.'],['Gory A.'],"['45+1', '90+2']","['Ambri S.', 'Teixeira Maxime']","['Weissbeck G.', 'Mauricio T.']",48%,52%,6,4,2,1,4,2,0,1,2,5,4,4,0,1,8,8,0,1,5,2,2,1,1,0,199,216,164,191,6,0,35,57,27,41,38%,62%,0,6,0,2,0,4,0,0,8,4,2,0,1,2,8,16,1,0,1,7,2,1,0,0,190,300,139,253,6,5,46,65,26,42,2.70,2.90,2.90,1.07,6.70,1.45,2.59,2.50,1.48,4.80,1.15
370,france,ligue-1,2021-2022,37,14.05.2022,14:00,370 out of 384,Bordeaux,Lorient,0,0,[],[],[],[],[],[],44%,56%,4,9,1,1,3,2,0,6,4,4,1,0,0,0,16,15,1,1,4,4,1,1,0,0,235,289,179,110,8,15,31,53,13,21,52%,48%,10,4,0,1,7,2,3,1,11,8,2,1,0,0,10,11,1,0,6,7,3,3,1,0,196,193,149,282,9,8,72,52,24,14,2.45,3.45,2.95,1.04,10.50,1.26,3.75,1.86,1.94,3.05,1.35
369,france,ligue-1,2021-2022,37,14.05.2022,14:00,369 out of 384,Lyon,Nantes,3,2,"['9', '78', '85']","['Dembele M.', 'Paqueta L.', 'Tete']","['noName', 'Tete', 'Aouar H.']","['81', '90+2']","['Merlin Q.', 'Cyprien W.']","['Blas L.', 'noName']",62%,38%,6,8,2,4,2,2,2,2,5,5,4,1,1,0,7,7,4,1,3,6,0,0,0,0,329,201,292,165,8,10,54,24,23,7,62%,38%,11,9,4,2,4,7,3,0,9,18,1,5,3,0,12,9,0,2,9,4,1,0,0,0,291,181,249,143,6,7,47,46,24,20,1.45,5.00,6.50,1.01,15.00,1.09,6.70,1.36,3.15,1.88,1.90
368,france,ligue-1,2021-2022,37,14.05.2022,14:00,368 out of 384,Metz,Angers,1,0,['50'],['Lamkel Ze D.'],['Cande F.'],[],[],[],49%,51%,5,3,1,1,3,2,1,0,9,7,1,1,1,0,13,6,1,1,7,8,1,1,0,0,231,234,184,179,4,11,20,59,11,14,41%,59%,2,8,1,3,1,5,0,0,15,24,0,3,1,0,7,10,3,0,10,10,2,0,0,0,138,196,101,171,8,6,32,52,13,11,2.20,3.70,3.10,1.02,11.75,1.22,4.10,1.73,2.10,2.74,1.43
367,france,ligue-1,2021-2022,37,14.05.2022,14:00,367 out of 384,Monaco,Brest,4,2,"['44', '51', '54', '70']","['Ben Yedder W.', 'Ben Yedder W.', 'Ben Yedder W.', 'Volland K.']","['noName', 'Volland K.', 'Tchouameni A.', 'noName']","['10', '23']","['Duverne J.', 'Belaili Y.']","['Magnetti H.', 'Duverne J.']",65%,35%,13,7,3,5,7,1,3,1,7,4,6,5,1,2,10,6,3,2,3,5,1,1,0,0,275,152,226,116,13,9,50,12,17,9,49%,51%,12,3,6,0,4,3,2,0,18,11,4,0,1,1,14,6,0,3,7,7,1,0,0,0,198,221,162,182,12,5,61,31,27,14,1.22,6.50,15.00,0,0,1.10,6.50,1.40,2.95,1.98,1.80
366,france,ligue-1,2021-2022,37,14.05.2022,14:00,366 out of 384,Montpellier,Paris SG,0,4,[],[],[],"['6', '20', '26', '60']","['Messi L.', 'Messi L.', 'Di Maria A.', 'Mbappe K.']","['Mbappe K.', 'Mbappe K.', 'noName', 'noName']",31%,69%,4,11,2,7,2,3,0,1,7,4,0,1,2,3,8,8,4,2,2,4,1,1,0,0,181,405,147,376,8,5,17,48,9,19,29%,71%,6,4,1,2,2,2,3,0,8,11,0,1,2,1,9,11,1,1,7,3,1,3,0,0,127,331,103,301,12,11,33,49,11,29,9.50,6.25,1.29,0,0,1.05,9.00,1.25,3.95,1.64,2.25
365,france,ligue-1,2021-2022,37,14.05.2022,14:00,365 out of 384,Nice,Lille,1,3,['31'],['Kluivert J.'],['Boudaoui H.'],"['52', '61', '90+4']","['David J.', 'David J.', 'Weah T.']","['Weah T.', 'noName', 'Lihadji I.']",63%,37%,9,3,4,0,5,2,0,1,5,3,5,2,0,0,13,9,0,3,3,5,1,1,0,0,284,167,249,123,4,7,48,20,17,0,55%,45%,7,6,2,5,4,1,1,0,10,15,5,1,1,1,13,9,2,2,8,4,1,2,0,0,213,195,159,140,12,7,58,48,22,10,1.73,4.20,4.50,1.02,12.25,1.21,4.15,1.67,2.20,2.58,1.47
364,france,ligue-1,2021-2022,37,14.05.2022,14:00,364 out of 384,Rennes,Marseille,2,0,"['12', '35']","['Bourigeaud B.', 'Majer L.']","['Terrier M.', 'Terrier M.']",[],[],[],43%,57%,7,4,3,0,2,4,2,0,4,9,3,0,1,2,7,7,0,1,7,3,1,0,0,0,224,296,173,248,7,2,30,27,5,11,37%,63%,5,4,1,0,3,1,1,3,7,13,3,1,0,2,7,11,0,1,7,5,0,2,0,0,177,309,134,268,5,6,43,56,19,25,1.95,3.75,3.90,1.03,11.00,1.25,3.80,1.78,2.03,2.85,1.40
363,france,ligue-1,2021-2022,37,14.05.2022,14:00,363 out of 384,St Etienne,Reims,1,2,['12'],['Mangala E.'],['noName'],"['2', '61']","['Munetsi M.', 'Doumbia K.']","['noName', 'Ekitike H.']",58%,42%,12,3,5,3,3,0,4,0,2,6,3,0,0,0,13,7,2,4,5,2,1,0,0,0,321,234,272,182,6,6,49,14,26,1,52%,48%,4,14,2,4,2,7,0,3,11,6,0,2,0,0,17,10,3,2,3,7,0,0,0,0,204,190,166,149,7,12,61,40,23,22,1.95,3.55,4.20,1.04,9.90,1.29,3.45,1.90,1.88,3.15,1.34
362,france,ligue-1,2021-2022,37,14.05.2022,14:00,362 out of 384,Strasbourg,Clermont,1,0,['28'],['Thomasson A.'],['Le Marchand M.'],[],[],[],58%,42%,9,4,5,3,2,1,2,0,4,9,2,1,1,0,13,14,3,4,8,4,1,1,0,0,293,204,247,166,17,12,39,33,8,13,54%,46%,2,7,1,0,1,5,0,2,8,13,1,1,1,0,5,6,0,1,5,5,0,1,0,0,252,221,206,173,10,9,39,52,14,21,1.48,4.50,7.00,1.03,11.25,1.26,3.70,1.82,1.98,3.01,1.36
361,france,ligue-1,2021-2022,37,14.05.2022,14:00,361 out of 384,Troyes,Lens,1,3,['14'],['Biancone G.'],['noName'],"['42', '45', '71']","['Danso K.', 'Kalimuendo A.', 'Clauss J.']","['noName', 'Clauss J.', 'noName']",49%,51%,4,8,1,5,2,1,1,2,6,4,0,6,0,1,13,15,3,0,4,5,1,1,0,0,231,233,195,209,9,9,22,27,13,11,47%,53%,2,7,1,4,0,3,1,0,12,9,5,1,0,3,14,9,3,1,5,4,0,1,0,0,251,293,220,259,9,14,65,41,26,13,4.00,3.60,1.95,1.03,10.50,1.26,3.70,1.82,1.98,2.95,1.38
360,france,ligue-1,2021-2022,36,11.05.2022,14:00,360 out of 384,Nantes,Rennes,2,1,"['45', '71']","['Coulibaly K.', 'Pallois N.']","['Bukari O.', 'Blas L.']",['32'],['Tait F.'],['Bourigeaud B.'],37%,63%,4,8,1,2,2,3,1,3,4,5,3,3,0,0,4,13,1,0,5,3,0,0,0,0,184,326,151,290,6,10,57,51,19,24,23%,77%,5,9,2,3,2,3,1,3,6,9,2,2,1,0,10,11,3,1,8,6,2,1,0,0,92,347,66,321,4,9,28,75,17,41,5.75,4.50,1.53,1.01,14.75,1.17,4.85,1.56,2.42,2.36,1.58
359,france,ligue-1,2021-2022,36,11.05.2022,12:00,359 out of 384,Nice,St Etienne,4,2,"['52', '60', '62', '80']","['Bard M.', 'Delort A.', 'Delort A.', 'Boudaoui H.']","['Gouiri A.', 'noName', 'Kluivert J.', 'Delort A.']","['11', '45+3']","['Bouanga D.', 'Youssouf Z.']","['noName', 'Boudebouz R.']",68%,32%,5,6,2,3,1,1,2,2,7,10,1,0,3,0,18,9,1,2,5,6,1,1,0,0,313,138,259,96,17,11,78,37,28,13,58%,42%,9,6,5,3,3,2,1,1,8,5,1,2,0,1,9,11,3,1,5,7,1,2,0,0,224,167,185,119,8,9,67,56,20,16,1.50,4.50,6.50,1.02,11.75,1.23,3.95,1.74,2.08,2.78,1.42
358,france,ligue-1,2021-2022,36,08.05.2022,13:45,358 out of 384,Paris SG,Troyes,2,2,"['6', '25']","['Marquinhos', 'Neymar']","['Di Maria A.', 'noName']","['30', '49']","['Ugbo I.', 'Tardieu F.']","['noName', 'noName']",63%,37%,8,6,5,1,3,2,0,3,11,7,3,3,1,0,5,10,0,3,6,12,0,0,0,0,344,191,318,163,12,10,66,43,17,21,65%,35%,9,4,2,2,4,2,3,0,9,4,4,1,1,1,5,6,1,2,4,8,1,2,0,0,290,157,264,128,9,9,71,26,33,11,1.17,8.50,17.00,0,0,1.05,8.80,1.26,3.80,1.67,2.18
