id,country,league,season,round,date,time,count,home,away,homeScore,awayScore,homeGoals,homeScorers,homeAsists,awayGoals,awayScorers,awayAsists,1HalfStats home Ball Possession,1HalfStats away Ball Possession,1HalfStats home Goal Attempts,1HalfStats away Goal Attempts,1HalfStats home Shots on Goal,1HalfStats away Shots on Goal,1HalfStats home Shots off Goal,1HalfStats away Shots off Goal,1HalfStats home Blocked Shots,1HalfStats away Blocked Shots,1HalfStats home Free Kicks,1HalfStats away Free Kicks,1HalfStats home Corner Kicks,1HalfStats away Corner Kicks,1HalfStats home Offsides,1HalfStats away Offsides,1HalfStats home Throw-in,1HalfStats away Throw-in,1HalfStats home Goalkeeper Saves,1HalfStats away Goalkeeper Saves,1HalfStats home Fouls,1HalfStats away Fouls,1HalfStats home Yellow Cards,1HalfStats away Yellow Cards,1HalfStats home Red Cards,1HalfStats away Red Cards,1HalfStats home Total Passes,1HalfStats away Total Passes,1HalfStats home Completed Passes,1HalfStats away Completed Passes,1HalfStats home Tackles,1HalfStats away Tackles,1HalfStats home Attacks,1HalfStats away Attacks,1HalfStats home Dangerous Attacks,1HalfStats away Dangerous Attacks,2HalfStats home Ball Possession,2HalfStats away Ball Possession,2HalfStats home Goal Attempts,2HalfStats away Goal Attempts,2HalfStats home Shots on Goal,2HalfStats away Shots on Goal,2HalfStats home Shots off Goal,2HalfStats away Shots off Goal,2HalfStats home Blocked Shots,2HalfStats away Blocked Shots,2HalfStats home Free Kicks,2HalfStats away Free Kicks,2HalfStats home Corner Kicks,2HalfStats away Corner Kicks,2HalfStats home Offsides,2HalfStats away Offsides,2HalfStats home Throw-in,2HalfStats away Throw-in,2HalfStats home Goalkeeper Saves,2HalfStats away Goalkeeper Saves,2HalfStats home Fouls,2HalfStats away Fouls,2HalfStats home Yellow Cards,2HalfStats away Yellow Cards,2HalfStats home Red Cards,2HalfStats away Red Cards,2HalfStats home Total Passes,2HalfStats away Total Passes,2HalfStats home Completed Passes,2HalfStats away Completed Passes,2HalfStats home Tackles,2HalfStats away Tackles,2HalfStats home Attacks,2HalfStats away Attacks,2HalfStats home Dangerous Attacks,2HalfStats away Dangerous Attacks,moneyLineOdds home,moneyLineOdds draw,moneyLineOdds away,overUnderOdds over0.5,overUnderOdds under0.5,overUnderOdds over1.5,overUnderOdds under1.5,overUnderOdds over2.5,overUnderOdds under2.5,overUnderOdds over3.5,overUnderOdds under3.5
170,france,ligue-1,2022-2023,17,02.01.2023,15:00,170 out of 170,Rennes,Nice,2,1,"['5', '89']","['Terrier M.', 'Bourigeaud B.']","['noName', 'Tait F.']",['21'],['Barkley R.'],['Lotomba J.'],61%,39%,6,3,2,2,1,1,3,0,5,7,1,1,1,1,7,8,1,1,7,4,0,0,0,0,324,208,287,172,8,6,59,42,36,14,64%,36%,14,3,3,1,5,1,6,1,3,10,4,1,0,0,9,11,1,2,9,3,1,1,0,0,309,182,273,128,8,16,102,25,46,9,1.85,3.65,4.50,1.05,9.40,1.32,3.25,1.97,1.82,3.35,1.31
169,france,ligue-1,2022-2023,17,02.01.2023,13:00,169 out of 170,Montpellier,Marseille,1,2,['90+1'],['Savanier T.'],['noName'],"['47', '61']","['Tavares N.', 'Esteve M.']","['noName', 'noName']",35%,65%,4,6,0,2,1,3,3,1,8,6,2,2,1,2,12,14,2,0,5,6,0,1,0,0,140,267,99,226,10,7,43,63,18,24,45%,55%,4,11,1,6,2,0,1,5,6,7,3,5,2,0,12,6,4,0,5,8,2,1,0,1,177,216,143,181,9,11,48,52,20,29,5.50,4.20,1.62,1.03,11.75,1.23,3.95,1.72,2.10,2.72,1.43
168,france,ligue-1,2022-2023,17,02.01.2023,11:00,168 out of 170,Lille,Reims,1,1,['32'],['David J.'],['noName'],['79'],['Cajuste J.'],['De Smet T.'],61%,39%,7,5,4,3,3,1,0,1,8,4,1,1,0,3,12,12,3,3,4,5,0,1,0,0,293,178,251,146,9,10,53,32,17,21,63%,37%,7,4,1,3,5,1,1,0,7,5,4,0,1,0,9,16,2,1,4,7,1,0,0,0,309,190,269,144,13,15,67,52,34,12,1.57,4.20,6.00,1.04,10.25,1.27,3.55,1.85,1.94,3.00,1.36
167,france,ligue-1,2022-2023,17,02.01.2023,09:00,167 out of 170,Strasbourg,Troyes,2,3,"['41', '54']","['Diallo H.', 'Doukoure I.']","['Bellegarde J.', 'Bellegarde J.']","['16', '20', '78']","['Ripart R.', 'Rony Lopes', 'Chavalerin X.']","['noName', 'noName', 'Rony Lopes']",51%,49%,9,4,4,3,5,0,0,1,5,5,2,0,0,1,17,6,1,3,5,4,0,0,0,0,267,268,222,215,3,9,60,50,38,11,60%,40%,8,5,3,2,4,1,1,2,9,8,1,1,3,1,11,6,1,2,5,8,1,2,0,0,276,178,219,111,8,7,88,36,31,15,1.91,3.65,4.20,1.04,9.90,1.29,3.40,1.90,1.88,3.15,1.33
166,france,ligue-1,2022-2023,17,01.01.2023,14:45,166 out of 170,Lens,Paris SG,3,1,"['5', '28', '47']","['Frankowski P.', 'Openda L.', 'Claude-Maurice A.']","['noName', 'Fofana S.', 'Openda L.']",['8'],['Ekitike H.'],['noName'],40%,60%,6,5,3,2,1,2,2,1,7,14,1,1,2,0,4,6,1,1,12,7,2,1,0,0,186,281,159,254,8,4,31,49,15,21,42%,58%,4,11,1,4,3,4,0,3,5,5,2,6,1,0,7,11,4,0,4,5,0,2,0,0,214,296,166,257,13,9,41,59,21,44,3.65,3.50,2.05,1.04,10.00,1.28,3.55,1.88,1.92,3.10,1.35
165,france,ligue-1,2022-2023,17,01.01.2023,11:00,165 out of 170,Lyon,Clermont,0,1,[],[],[],['87'],['Muhammed Cham'],['noName'],55%,45%,6,4,2,1,3,2,1,1,6,13,6,2,0,1,8,7,1,2,10,5,0,2,0,0,254,203,212,161,11,15,58,48,20,15,65%,35%,7,9,0,2,6,1,1,6,9,7,1,2,0,1,11,12,1,0,11,8,1,1,0,0,289,155,256,111,10,11,71,37,29,16,1.57,4.33,5.50,1.02,12.25,1.21,4.20,1.68,2.18,2.62,1.46
164,france,ligue-1,2022-2023,17,01.01.2023,09:00,164 out of 170,Angers,Lorient,1,2,['10'],['Sima A.'],['Capelle P.'],"['79', '88']","['Sima A.', 'Le Fee E.']","['noName', 'Kone I.']",42%,58%,6,3,2,2,4,0,0,1,4,8,2,2,0,0,13,16,2,1,8,4,2,0,0,0,196,275,160,233,7,13,45,44,20,21,42%,58%,9,7,4,3,3,2,2,2,5,11,5,5,3,0,10,16,1,4,8,5,1,0,0,0,143,216,111,175,11,14,47,39,31,28,2.55,3.40,2.80,1.04,10.25,1.27,3.60,1.90,1.88,3.20,1.33
163,france,ligue-1,2022-2023,17,01.01.2023,09:00,163 out of 170,Monaco,Brest,1,0,['54'],['Golovin A.'],['Camara M.'],[],[],[],57%,43%,11,1,3,0,6,0,2,1,15,10,6,0,0,1,10,12,0,3,11,8,1,1,0,0,247,192,209,141,15,16,69,37,28,10,45%,55%,6,12,2,6,2,4,2,2,1,13,1,5,1,1,9,7,6,1,12,6,2,3,0,0,187,219,147,174,12,4,37,61,15,30,1.50,4.75,6.00,1.01,14.50,1.17,4.80,1.56,2.43,2.34,1.57
162,france,ligue-1,2022-2023,17,01.01.2023,09:00,162 out of 170,Nantes,Auxerre,1,0,['74'],['Coco M.'],['Ganago I.'],[],[],[],56%,44%,7,2,1,0,3,1,3,1,19,6,3,2,0,0,11,6,0,1,5,12,0,1,0,0,219,171,172,121,9,12,70,43,36,13,44%,56%,3,12,2,6,0,5,1,1,0,5,0,5,1,0,7,17,6,1,5,7,1,1,0,0,193,227,147,183,8,-2,46,61,7,34,1.85,3.45,4.50,1.05,9.30,1.31,3.35,1.95,1.84,3.25,1.32
161,france,ligue-1,2022-2023,17,01.01.2023,09:00,161 out of 170,Toulouse,AC Ajaccio,2,0,"['46', '62']","['Ratao R.', 'Dejaegere B.']","['Dejaegere B.', 'Ratao R.']",[],[],[],67%,33%,5,1,0,0,2,1,3,0,6,9,1,1,1,0,5,17,0,0,8,6,1,0,0,0,315,154,259,96,6,5,74,37,27,21,59%,41%,6,0,4,0,2,0,0,0,10,9,4,1,2,1,9,10,0,2,7,9,2,1,0,0,255,185,205,138,6,7,52,53,24,9,2.10,3.35,3.65,1.05,9.40,1.30,3.40,1.97,1.83,3.30,1.31
160,france,ligue-1,2022-2023,16,29.12.2022,15:00,160 out of 170,Marseille,Toulouse,6,1,"['13', '41', '51', '62', '80', '82']","['Rongier V.', 'Nicolaisen R.', 'Kolasinac S.', 'Payet D.', 'Under C.', 'Tavares N.']","['Gigot S.', 'noName', 'Gueye P.', 'Clauss J.', 'noName', 'Clauss J.']",['66'],['van den Boomen B.'],['noName'],51%,49%,6,5,2,2,2,2,2,1,5,6,0,4,0,0,6,12,2,0,8,6,0,0,0,0,261,237,216,187,10,8,65,56,21,24,51%,49%,7,5,5,4,2,1,0,0,2,9,1,2,0,0,9,12,3,1,6,2,1,2,0,0,198,202,161,167,9,13,46,46,22,21,1.40,5.25,7.50,1.01,15.00,1.13,5.60,1.47,2.66,2.16,1.68
159,france,ligue-1,2022-2023,16,29.12.2022,15:00,159 out of 170,Nice,Lens,0,0,[],[],[],[],[],[],35%,65%,5,7,4,2,0,2,1,3,11,6,1,5,1,1,8,6,2,4,6,11,0,1,0,0,181,328,154,300,7,9,37,56,7,25,47%,53%,4,3,1,0,1,3,2,0,10,9,3,1,1,2,5,6,0,1,5,7,2,2,0,0,217,246,179,220,9,8,38,57,17,13,3.00,3.20,2.55,1.05,9.00,1.31,3.30,2.07,1.75,3.60,1.27
158,france,ligue-1,2022-2023,16,29.12.2022,13:00,158 out of 170,Reims,Rennes,3,1,"['6', '22', '84']","['Balogun F.', 'Flips A.', 'Balogun F.']","['Flips A.', 'Munetsi M.', 'noName']",['45+1'],['Theate A.'],['Terrier M.'],35%,65%,6,6,3,2,2,2,1,2,5,7,2,4,4,1,10,9,1,1,3,4,1,1,0,0,144,269,106,228,10,5,42,67,18,28,31%,69%,4,5,1,3,2,0,1,2,9,11,2,2,1,2,7,12,3,0,5,4,1,1,0,0,142,328,96,277,12,6,38,75,15,35,3.20,3.40,2.30,1.03,10.75,1.24,3.85,1.80,1.98,2.92,1.38
157,france,ligue-1,2022-2023,16,29.12.2022,11:00,157 out of 170,Lorient,Montpellier,0,2,[],[],[],"['3', '22']","['Savanier T.', 'Wahi E.']","['noName', 'noName']",51%,49%,5,6,2,3,3,2,0,1,10,10,4,2,0,1,10,8,1,2,6,7,1,2,0,0,219,214,181,159,11,4,55,50,25,13,45%,55%,7,8,2,3,4,1,1,4,13,13,1,0,0,1,9,13,3,2,9,8,2,2,0,0,224,276,183,223,11,9,69,60,23,11,1.91,3.80,3.95,1.03,11.75,1.23,4.00,1.72,2.10,2.72,1.43
156,france,ligue-1,2022-2023,16,28.12.2022,15:00,156 out of 170,Brest,Lyon,2,4,"['29', '72']","['Pereira Lage M.', 'Mounie S.']","['noName', 'Del Castillo R.']","['21', '32', '35', '49']","['Caqueret M.', 'Cherki R.', 'Lacazette A.', 'Tete']","['Lacazette A.', 'Caqueret M.', 'noName', 'Toko Ekambi K.']",36%,64%,5,11,2,6,3,1,0,4,10,4,0,3,0,0,8,7,3,1,5,10,2,2,0,0,150,264,110,236,6,9,31,52,8,33,50%,50%,12,6,3,3,4,0,5,3,9,4,6,3,1,0,13,11,2,2,3,9,0,0,0,0,193,211,154,168,10,9,54,51,30,22,3.25,3.55,2.20,1.03,11.25,1.24,3.90,1.78,2.03,2.87,1.40
155,france,ligue-1,2022-2023,16,28.12.2022,15:00,155 out of 170,Paris SG,Strasbourg,2,1,"['14', '90+5']","['Marquinhos', 'Mbappe K.']","['Neymar', 'noName']",['51'],['Marquinhos'],['noName'],76%,24%,5,7,3,3,1,4,1,0,10,4,4,3,2,0,6,4,3,2,2,10,0,0,0,0,457,138,426,116,8,20,90,34,19,19,62%,38%,5,5,3,0,0,3,2,2,2,8,4,0,1,0,22,4,0,2,7,3,4,1,1,0,308,171,263,133,11,15,65,41,37,21,1.20,7.50,15.00,0,0,1.09,6.80,1.36,3.10,1.92,1.87
154,france,ligue-1,2022-2023,16,28.12.2022,13:00,154 out of 170,Clermont,Lille,0,2,[],[],[],"['68', '90+3']","['Gomes A.', 'Bayo M.']","['noName', 'David J.']",36%,64%,1,9,0,1,1,4,0,4,12,7,0,3,2,1,6,15,1,0,5,12,3,1,0,0,152,278,114,237,14,12,40,57,19,18,50%,50%,8,5,3,2,2,2,3,1,7,4,3,0,1,2,17,9,0,3,4,5,1,1,1,0,220,241,173,192,4,15,52,62,23,19,4.33,3.60,1.85,1.05,9.10,1.32,3.25,1.98,1.80,3.35,1.30
