id,country,league,season,round,date,time,count,home,away,homeScore,awayScore,homeGoals,homeScorers,homeAsists,awayGoals,awayScorers,awayAsists,1HalfStats home Ball Possession,1HalfStats away Ball Possession,1HalfStats home Goal Attempts,1HalfStats away Goal Attempts,1HalfStats home Shots on Goal,1HalfStats away Shots on Goal,1HalfStats home Shots off Goal,1HalfStats away Shots off Goal,1HalfStats home Blocked Shots,1HalfStats away Blocked Shots,1HalfStats home Free Kicks,1HalfStats away Free Kicks,1HalfStats home Corner Kicks,1HalfStats away Corner Kicks,1HalfStats home Offsides,1HalfStats away Offsides,1HalfStats home Throw-in,1HalfStats away Throw-in,1HalfStats home Goalkeeper Saves,1HalfStats away Goalkeeper Saves,1HalfStats home Fouls,1HalfStats away Fouls,1HalfStats home Yellow Cards,1HalfStats away Yellow Cards,1HalfStats home Red Cards,1HalfStats away Red Cards,1HalfStats home Total Passes,1HalfStats away Total Passes,1HalfStats home Completed Passes,1HalfStats away Completed Passes,1HalfStats home Tackles,1HalfStats away Tackles,1HalfStats home Attacks,1HalfStats away Attacks,1HalfStats home Dangerous Attacks,1HalfStats away Dangerous Attacks,2HalfStats home Ball Possession,2HalfStats away Ball Possession,2HalfStats home Goal Attempts,2HalfStats away Goal Attempts,2HalfStats home Shots on Goal,2HalfStats away Shots on Goal,2HalfStats home Shots off Goal,2HalfStats away Shots off Goal,2HalfStats home Blocked Shots,2HalfStats away Blocked Shots,2HalfStats home Free Kicks,2HalfStats away Free Kicks,2HalfStats home Corner Kicks,2HalfStats away Corner Kicks,2HalfStats home Offsides,2HalfStats away Offsides,2HalfStats home Throw-in,2HalfStats away Throw-in,2HalfStats home Goalkeeper Saves,2HalfStats away Goalkeeper Saves,2HalfStats home Fouls,2HalfStats away Fouls,2HalfStats home Yellow Cards,2HalfStats away Yellow Cards,2HalfStats home Red Cards,2HalfStats away Red Cards,2HalfStats home Total Passes,2HalfStats away Total Passes,2HalfStats home Completed Passes,2HalfStats away Completed Passes,2HalfStats home Tackles,2HalfStats away Tackles,2HalfStats home Attacks,2HalfStats away Attacks,2HalfStats home Dangerous Attacks,2HalfStats away Dangerous Attacks,moneyLineOdds home,moneyLineOdds draw,moneyLineOdds away,overUnderOdds over0.5,overUnderOdds under0.5,overUnderOdds over1.5,overUnderOdds under1.5,overUnderOdds over2.5,overUnderOdds under2.5,overUnderOdds over3.5,overUnderOdds under3.5
310,england,championship,2022-2023,26,02.01.2023,15:00,310 out of 310,QPR,Sheffield Utd,1,1,['11'],['Chair I.'],['Willock C.'],['90+6'],['Egan J.'],['Stevens E.'],52%,48%,8,6,2,2,1,1,5,3,4,6,5,1,0,0,18,21,2,1,6,5,0,1,0,0,194,186,150,129,10,12,51,48,35,30,36%,64%,7,9,0,4,2,1,5,4,8,7,3,5,2,0,9,13,3,0,5,8,2,1,0,0,129,240,86,178,7,9,49,53,19,42,3.30,3.35,2.30,1.05,8.60,1.35,3.05,2.13,1.68,3.80,1.24
309,england,championship,2022-2023,26,02.01.2023,10:00,309 out of 310,Birmingham,Middlesbrough,1,3,['74'],['Chong T.'],['Trusty A.'],"['57', '59', '85']","['Crooks M.', 'Crooks M.', 'Akpom Ch.']","['Howson J.', 'noName', 'Crooks M.']",31%,69%,1,9,0,2,1,1,0,6,5,9,3,3,1,0,11,14,2,0,8,5,1,1,0,0,111,262,67,221,12,4,49,50,16,15,47%,53%,8,9,1,6,4,1,3,2,4,4,6,5,2,1,16,13,3,0,2,3,0,1,0,0,171,187,107,126,11,8,64,45,21,26,3.50,3.30,2.20,1.06,7.80,1.41,2.76,2.30,1.58,4.30,1.19
308,england,championship,2022-2023,26,02.01.2023,10:00,308 out of 310,Norwich,Watford,0,1,[],[],[],['86'],['Bayo V.'],['Sarr I.'],57%,43%,5,6,1,1,2,4,2,1,7,9,2,1,3,0,18,9,1,1,7,7,2,1,0,0,210,150,170,109,11,10,40,51,42,29,63%,37%,10,6,0,2,7,1,3,3,7,2,6,2,0,0,17,8,1,0,2,10,0,2,0,0,217,139,165,96,9,10,72,40,39,21,1.91,3.70,4.00,1.03,9.90,1.29,3.35,1.90,1.85,3.20,1.32
307,england,championship,2022-2023,26,02.01.2023,10:00,307 out of 310,Stoke,Preston,0,1,[],[],[],['90+3'],['Evans C.'],['Browne A.'],57%,43%,13,3,3,0,6,2,4,1,3,10,3,3,2,1,20,9,0,3,8,2,1,1,0,0,204,157,154,99,2,4,49,50,30,12,55%,45%,2,6,0,2,0,3,2,1,4,5,1,4,1,1,14,18,1,0,5,4,3,3,0,0,226,181,153,115,8,9,50,52,17,28,2.15,3.30,3.70,1.07,7.60,1.42,2.75,2.32,1.58,4.30,1.19
306,england,championship,2022-2023,26,02.01.2023,10:00,306 out of 310,Swansea,Burnley,1,2,['27'],['Cooper O.'],['noName'],"['12', '22']","['Maatsen I.', 'Maatsen I.']","['noName', 'Tella N.']",62%,38%,8,2,3,2,1,0,4,0,5,2,3,2,0,0,10,8,0,2,3,5,2,1,0,0,296,187,257,147,12,5,68,38,17,3,48%,52%,2,6,0,1,2,4,0,1,7,4,1,3,0,1,18,11,1,0,4,7,1,4,0,0,250,257,214,225,12,10,41,53,15,19,3.00,3.30,2.45,1.05,8.60,1.35,3.05,2.14,1.68,3.85,1.23
305,england,championship,2022-2023,26,02.01.2023,10:00,305 out of 310,West Brom,Reading,1,0,['60'],['Dike D.'],['Molumby J.'],[],[],[],64%,36%,13,2,3,2,7,0,3,0,6,6,5,0,1,0,7,2,2,3,5,6,0,0,0,0,316,187,283,145,4,2,60,54,24,55,54%,46%,4,5,1,0,2,4,1,1,5,9,1,3,3,0,11,13,0,0,6,6,1,4,0,0,204,186,161,142,10,10,39,60,22,15,1.53,4.20,6.50,1.04,9.30,1.32,3.20,2.00,1.76,3.50,1.28
304,england,championship,2022-2023,26,02.01.2023,10:00,304 out of 310,Wigan,Hull,1,4,['63'],['Broadhead N.'],['McClean J.'],"['15', '78', '85', '90+1']","['Greaves J.', 'Estupinan O.', 'Smith T.', 'Smith T.']","['Sayyadmanesh A.', 'noName', 'McLoughlin S.', 'Slater R.']",37%,63%,2,6,0,1,1,3,1,2,6,5,1,5,0,0,7,10,0,0,5,7,1,1,0,0,175,300,138,251,6,4,42,57,15,19,60%,40%,4,3,1,3,2,0,1,0,1,5,6,0,0,0,16,15,0,0,5,1,0,1,0,0,284,197,239,163,11,6,64,44,20,9,2.88,3.20,2.65,1.06,7.80,1.40,2.82,2.30,1.58,4.30,1.19
303,england,championship,2022-2023,26,01.01.2023,10:00,303 out of 310,Blackpool,Sunderland,1,1,['21'],['Lavery S.'],['Hamilton C.'],['66'],['Stewart R.'],['Hume T.'],38%,62%,5,7,1,2,2,1,2,4,4,6,1,1,1,0,17,18,2,0,5,4,2,1,0,0,141,227,95,174,15,16,72,50,20,21,28%,72%,1,11,1,3,0,3,0,5,5,8,0,4,0,1,16,14,2,1,9,6,3,1,1,0,100,263,53,212,7,8,48,64,19,31,2.88,3.40,2.50,1.03,10.25,1.27,3.55,1.90,1.85,3.25,1.31
302,england,championship,2022-2023,26,01.01.2023,10:00,302 out of 310,Coventry,Bristol City,1,1,['12'],['Bidwell J.'],['noName'],['28'],['Semenyo A.'],['Scott A.'],50%,50%,7,9,4,2,2,4,1,3,5,3,2,10,0,0,11,13,1,3,3,4,1,1,0,0,177,170,120,122,9,10,36,47,15,40,56%,44%,9,0,2,0,2,0,5,0,9,7,4,1,0,3,10,21,0,2,7,6,2,1,0,0,201,159,147,92,10,14,79,41,39,16,2.05,3.45,3.70,1.04,9.00,1.33,3.15,2.03,1.74,3.55,1.27
301,england,championship,2022-2023,26,01.01.2023,10:00,301 out of 310,Huddersfield,Luton,1,2,['25'],['Holmes D.'],['Rudoni J.'],"['43', '84']","['Bell A.', 'Burke R.']","['Campbell A.', 'Bree J.']",40%,60%,3,5,1,2,0,1,2,2,6,10,1,1,3,0,11,9,1,0,7,6,1,0,0,0,162,247,113,200,3,5,53,55,14,16,50%,50%,3,5,2,3,0,1,1,1,11,7,0,0,0,1,16,8,2,2,7,9,0,3,0,0,202,196,148,147,8,9,54,54,12,23,3.10,3.10,2.55,1.08,7.00,1.48,2.55,2.54,1.48,5.00,1.15
